Id;Label1;Type;Centrality_Score;Label;section;q_p;sec_level;css_qp;pims_qp
ffdhe3072 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;ffdhe3072 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;ffdhe3072 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;ffdhe3072 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_256_GCM_SHA384 / ed448;ffdhe3072 / TLS_AES_256_GCM_SHA384 / ed448;Supernode;1;;;;;;
ffdhe3072 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;ffdhe3072 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;ffdhe4096 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe4096_supported;ffdhe4096;Primitive;24;ffdhe4096;PRIMITIVE;0.5;150;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;ffdhe4096 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / ed25519;ffdhe4096 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;ffdhe4096 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;ffdhe4096 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;ffdhe4096 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / ed448;ffdhe4096 / TLS_AES_128_GCM_SHA256 / ed448;Supernode;1;;;;;;
ffdhe4096 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;ffdhe4096 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512;Supernode;1;;;;;;
ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;ffdhe4096 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
